
('Computer', 'OOSE', '2021-22', 'Select Semester', '2', 'nishant chutiya', 'B', '7', 'Male', '24/02/2002', 'uyfuf@gail.com', '55', 'smastipur', 'vghvvjh', 'Yes'),('7',),('nishant chutiya',),('Computer',),00:56:19, 10/04/2023,Present
('Computer', 'OOSE', '2021-22', 'Select Semester', '1', 'sourav', 'B', '7', 'Male', '24/02/2002', 'uyfuf@gail.com', '8899', 'jammu', 'vghvvjh', 'Yes'),('7',),('sourav',),('Computer',),00:56:32, 10/04/2023,Present
('Computer', 'OOSE', '2021-22', 'Select Semester', '2', 'nishant chutiya', 'B', '7', 'Male', '24/02/2002', 'uyfuf@gail.com', '55', 'smastipur', 'vghvvjh', 'Yes'),('7',),('nishant chutiya',),('Computer',),00:56:33, 10/04/2023,Present
('Computer', 'OOSE', '2021-22', 'Select Semester', '1', 'sourav', 'B', '7', 'Male', '24/02/2002', 'uyfuf@gail.com', '8899', 'jammu', 'vghvvjh', 'Yes'),('7',),('sourav',),('Computer',),00:56:33, 10/04/2023,Present
('Computer', 'OOSE', '2021-22', 'Select Semester', '2', 'nishant chutiya', 'B', '7', 'Male', '24/02/2002', 'uyfuf@gail.com', '55', 'smastipur', 'vghvvjh', 'Yes'),('7',),('nishant chutiya',),('Computer',),00:56:33, 10/04/2023,Present
('Computer', 'OOSE', '2021-22', 'Select Semester', '1', 'sourav', 'B', '7', 'Male', '24/02/2002', 'uyfuf@gail.com', '8899', 'jammu', 'vghvvjh', 'Yes'),('7',),('sourav',),('Computer',),00:56:33, 10/04/2023,Present
('Computer', 'OOSE', '2021-22', 'Select Semester', '2', 'nishant chutiya', 'B', '7', 'Male', '24/02/2002', 'uyfuf@gail.com', '55', 'smastipur', 'vghvvjh', 'Yes'),('7',),('nishant chutiya',),('Computer',),00:56:34, 10/04/2023,Present
('Computer', 'OOSE', '2021-22', 'Select Semester', '1', 'sourav', 'B', '7', 'Male', '24/02/2002', 'uyfuf@gail.com', '8899', 'jammu', 'vghvvjh', 'Yes'),('7',),('sourav',),('Computer',),00:56:34, 10/04/2023,Present
('Computer', 'OOSE', '2021-22', 'Select Semester', '2', 'sourav', 'B', '7', 'Male', '24/02/2002', 'uyfuf@gail.com', '55', 'smastipur', 'vghvvjh', 'Yes'),('7',),('sourav',),('Computer',),01:10:00, 10/04/2023,Present
('Computer', 'OOSE', '2021-22', 'Select Semester', '1', 'nishant ', 'B', '7', 'Male', '24/02/2002', 'uyfuf@gail.com', '55', 'smastipur', 'vghvvjh', 'Yes'),('7',),('nishant ',),('Computer',),01:10:31, 10/04/2023,Present
('Computer', 'OOSE', '2021-22', 'Select Semester', '2', 'sourav', 'B', '7', 'Male', '24/02/2002', 'uyfuf@gail.com', '55', 'smastipur', 'vghvvjh', 'Yes'),('7',),('sourav',),('Computer',),01:10:38, 10/04/2023,Present
('Computer', 'OOSE', '2021-22', 'Select Semester', '1', 'nishant ', 'B', '7', 'Male', '24/02/2002', 'uyfuf@gail.com', '55', 'smastipur', 'vghvvjh', 'Yes'),('7',),('nishant ',),('Computer',),01:10:38, 10/04/2023,Present
('Computer', 'OOSE', '2021-22', 'Select Semester', '2', 'sourav', 'B', '7', 'Male', '24/02/2002', 'uyfuf@gail.com', '55', 'smastipur', 'vghvvjh', 'Yes'),('7',),('sourav',),('Computer',),01:10:39, 10/04/2023,Present
('Computer', 'OOSE', '2021-22', 'Select Semester', '1', 'nishant ', 'B', '7', 'Male', '24/02/2002', 'uyfuf@gail.com', '55', 'smastipur', 'vghvvjh', 'Yes'),('7',),('nishant ',),('Computer',),01:10:39, 10/04/2023,Present
('Computer', 'OOSE', '2021-22', 'Select Semester', '2', 'sourav', 'B', '7', 'Male', '24/02/2002', 'uyfuf@gail.com', '55', 'smastipur', 'vghvvjh', 'Yes'),('7',),('sourav',),('Computer',),01:10:39, 10/04/2023,Present
('Computer', 'OOSE', '2021-22', 'Select Semester', '1', 'nishant ', 'B', '7', 'Male', '24/02/2002', 'uyfuf@gail.com', '55', 'smastipur', 'vghvvjh', 'Yes'),('7',),('nishant ',),('Computer',),01:10:39, 10/04/2023,Present
