
('Electronics and telecommunication engineering', 'Digital Electronics', '2022-23', 'Semester-VII', '1', 'Nishant', 'B', '516445', 'Male', '24/02/2002', 'jkxdhg2gmail.com', '864869865', 'khgdbsk', 'kxbgdcj', 'Yes'),('516445',),('Nishant',),('Electronics and telecommunication engineering',),14:22:58, 20/04/2023,Present
('Electronics and telecommunication engineering', 'Digital Electronics', '2022-23', 'Semester-VII', '2', 'jitesh', 'B', '516445', 'Male', '24/02/2002', 'jkxdhg2gmail.com', '864869865', 'khgdbsk', 'kxbgdcj', 'Yes'),('516445',),('jitesh',),('Electronics and telecommunication engineering',),14:23:28, 20/04/2023,Present
('Electronics and telecommunication engineering', 'Digital Electronics', '2022-23', 'Semester-VII', '1', 'Nishant', 'B', '516445', 'Male', '24/02/2002', 'jkxdhg2gmail.com', '864869865', 'khgdbsk', 'kxbgdcj', 'Yes'),('516445',),('Nishant',),('Electronics and telecommunication engineering',),14:23:28, 20/04/2023,Present
('Electronics and telecommunication engineering', 'Digital Electronics', '2022-23', 'Semester-VII', '2', 'jitesh', 'B', '516445', 'Male', '24/02/2002', 'jkxdhg2gmail.com', '864869865', 'khgdbsk', 'kxbgdcj', 'Yes'),('516445',),('jitesh',),('Electronics and telecommunication engineering',),14:23:30, 20/04/2023,Present
('Electronics and telecommunication engineering', 'Digital Electronics', '2022-23', 'Semester-VII', '1', 'Nishant', 'B', '516445', 'Male', '24/02/2002', 'jkxdhg2gmail.com', '864869865', 'khgdbsk', 'kxbgdcj', 'Yes'),('516445',),('Nishant',),('Electronics and telecommunication engineering',),14:23:31, 20/04/2023,Present
('Electronics and telecommunication engineering', 'Digital Electronics', '2022-23', 'Semester-VII', '2', 'jitesh', 'B', '516445', 'Male', '24/02/2002', 'jkxdhg2gmail.com', '864869865', 'khgdbsk', 'kxbgdcj', 'Yes'),('516445',),('jitesh',),('Electronics and telecommunication engineering',),14:23:35, 20/04/2023,Present
('Electronics and telecommunication engineering', 'Digital Electronics', '2022-23', 'Semester-VII', '1', 'Nishant', 'B', '516445', 'Male', '24/02/2002', 'jkxdhg2gmail.com', '864869865', 'khgdbsk', 'kxbgdcj', 'Yes'),('516445',),('Nishant',),('Electronics and telecommunication engineering',),14:23:52, 20/04/2023,Present
('Electronics and telecommunication engineering', 'Digital Electronics', '2022-23', 'Semester-VII', '3', 'jitesh', 'B', '516445', 'Male', '24/02/2002', 'jkxdhg2gmail.com', '864869865', 'khgdbsk', 'kxbgdcj', 'Yes'),('516445',),('jitesh',),('Electronics and telecommunication engineering',),10:20:21, 24/04/2023,Present
('Electronics and telecommunication engineering', 'Digital Electronics', '2022-23', 'Semester-VII', '6', 'jites', 'B', '516445', 'Male', '24/02/2002', 'jkxdhg2gmail.com', '864869865', 'khgdbsk', 'kxbgdcj', 'Yes'),('516445',),('jites',),('Electronics and telecommunication engineering',),14:25:05, 27/04/2023,Present
('Electronics and telecommunication engineering', 'Digital Electronics', '2022-23', 'Semester-VII', '1', 'Nishant', 'B', '516445', 'Male', '24/02/2002', 'jkxdhg2gmail.com', '864869865', 'khgdbsk', 'kxbgdcj', 'Yes'),('516445',),('Nishant',),('Electronics and telecommunication engineering',),16:48:58, 28/04/2023,Present
('Electronics and telecommunication engineering', 'Digital Electronics', '2022-23', 'Semester-VII', '2', 'Nishant2', 'B', '516445', 'Male', '24/02/2002', 'jkxdhg2gmail.com', '864869865', 'khgdbsk', 'kxbgdcj', 'Yes'),('516445',),('Nishant2',),('Electronics and telecommunication engineering',),00:39:50, 29/04/2023,Present
